,Country,State,City,StationName,Timestamp,PM25,AQI,MainPollutant,PM10,SO2,CO,NO2,Ozone
129,USA,Pennsylvania,Avalon,Avalon,2022-02-06,20.33,68,PM2.5,,,,,
130,USA,Pennsylvania,Avalon,Avalon,2021-12-23,10.25,42,PM2.5,,,,,
131,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-12-02,6.07,25,PM2.5,,,,,
132,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-12-06,6.46,27,PM2.5,,,,,
133,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-05-08,6.5,27,PM2.5,,,,,
134,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-08-21,6.53,27,PM2.5,,,,,
135,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-10-31,3.79,16,PM2.5,,,,,
136,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-12-05,7.05,29,PM2.5,,,,,
137,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-10-07,12.96,53,PM2.5,,,,,
138,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-12-31,7.27,30,PM2.5,,,,,
139,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-03-04,2.17,9,PM2.5,,,,,
140,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-02-24,20.91,69,PM2.5,29.81,,,,
141,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-10-01,6.72,28,PM2.5,,,,,
142,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-01-21,17.8,63,PM2.5,,,,,
143,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-03-06,4.42,18,PM2.5,,,,,
144,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-01-25,52.09,142,PM2.5,,,,,
145,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-03-23,3.46,14,PM2.5,4.17,,,,
146,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-09-20,20.54,69,PM2.5,,,,,
147,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-07-13,15.21,58,PM2.5,,,,,
148,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-10-09,5.71,24,PM2.5,,,,,
149,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-01-22,26.73,82,PM2.5,,,,,
150,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-12-03,6.65,27,PM2.5,,,,,
151,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-05-26,21.96,72,PM2.5,,,,,
152,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-06-26,9.41,39,PM2.5,,,,,
153,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-05-29,4.79,20,PM2.5,7.1,,,,
154,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-10-24,5.65,23,PM2.5,,,,,
155,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-08-09,18.67,65,PM2.5,25.8,,,,
156,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-01-31,12.42,52,PM2.5,,,,,
157,USA,Pennsylvania,McKeesport,Liberty (SAHS),2015-12-26,5.71,24,PM2.5,,,,,
158,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-10-05,18.88,65,PM2.5,,,,,
159,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-06-22,5.21,22,PM2.5,,,,,
160,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-01-23,3.74,15,PM2.5,,,,,
161,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-12-09,6.96,29,PM2.5,,,,,
162,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-12-23,8.33,34,PM2.5,,,,,
163,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-01-10,6.36,26,PM2.5,,,,,
164,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-01-31,5.94,25,PM2.5,,,,,
165,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-03-29,23.56,75,PM2.5,,,,,
166,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-04-01,6.96,29,PM2.5,,,,,
167,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-05-10,8.93,37,PM2.5,,,,,
168,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-05-11,3.55,15,PM2.5,,,,,
169,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-06-04,15.75,59,PM2.5,,,,,
170,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-08-09,9.22,38,PM2.5,,,,,
171,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-09-05,5.26,22,PM2.5,,,,,
172,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-09-09,8.65,36,PM2.5,,,,,
173,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-09-10,11.0,45,PM2.5,,,,,
174,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-09-13,4.67,19,PM2.5,,,,,
175,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-09-23,20.05,68,PM2.5,,,,,
176,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-09-25,22.77,73,PM2.5,,,,,
177,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-10-12,5.41,22,PM2.5,,,,,
178,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-10-19,13.24,53,PM2.5,,,,,
179,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-10-20,11.05,46,PM2.5,,,,,
180,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-11-12,6.44,27,PM2.5,,,,,
181,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-12-03,5.52,23,PM2.5,,,,,
182,USA,Pennsylvania,McKeesport,Liberty (SAHS),2019-12-28,19.67,67,PM2.5,,,,,
183,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-01-24,13.59,54,PM2.5,,,,,
184,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-01-31,16.83,61,PM2.5,,,,,
185,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-02-08,10.35,43,PM2.5,,,,,
186,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-02-24,37.95,107,PM2.5,,,,,
