Country,State,City,StationName,PM25,AQI,MainPollutant,PM10,SO2,CO,NO2,Ozone
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),9.36,39,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),7.09,29,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),4.9,20,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),5.09,21,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),5.7,24,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),14.67,56,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),8.9,37,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),7.1,29,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),8.59,35,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),12.53,52,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),20.43,68,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),20.7,69,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),5.45,23,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),57.35,152,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),12.34,52,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),9.21,38,PM2.5,,,,8.27,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),11.29,47,PM2.5,,,,16.33,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),11.71,48,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),15.5,58,PM2.5,,,,4.06,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),6.46,27,PM2.5,,,,12.11,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),8.5,35,PM2.5,,,,12.12,
